2019-06-10 20:40:40 startup archives install
2019-06-10 20:40:40 install base-passwd:amd64 <none> 3.5.39
2019-06-10 20:40:40 status half-installed base-passwd:amd64 3.5.39
2019-06-10 20:40:40 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:40 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:40 configure base-passwd:amd64 3.5.39 3.5.39
2019-06-10 20:40:40 status unpacked base-passwd:amd64 3.5.39
2019-06-10 20:40:40 status half-configured base-passwd:amd64 3.5.39
2019-06-10 20:40:40 status installed base-passwd:amd64 3.5.39
2019-06-10 20:40:40 startup archives install
2019-06-10 20:40:40 install base-files:amd64 <none> 9.4ubuntu4
2019-06-10 20:40:40 status half-installed base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status unpacked base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status half-configured base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 status installed base-files:amd64 9.4ubuntu4
2019-06-10 20:40:40 startup archives install
2019-06-10 20:40:40 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2019-06-10 20:40:40 status half-configured dpkg 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg 1.18.4ubuntu1
2019-06-10 20:40:40 status half-installed dpkg 1.18.4ubuntu1
2019-06-10 20:40:40 status half-installed dpkg 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status unpacked dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status half-configured dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 status installed dpkg:amd64 1.18.4ubuntu1
2019-06-10 20:40:40 startup archives install
2019-06-10 20:40:40 install libc6:amd64 <none> 2.23-0ubuntu3
2019-06-10 20:40:40 status half-installed libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2019-06-10 20:40:40 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 status unpacked libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 status half-configured libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:40 status installed libc6:amd64 2.23-0ubuntu3
2019-06-10 20:40:41 startup archives install
2019-06-10 20:40:41 install perl-base:amd64 <none> 5.22.1-9
2019-06-10 20:40:41 status half-installed perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 status unpacked perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 status unpacked perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 configure perl-base:amd64 5.22.1-9 5.22.1-9
2019-06-10 20:40:41 status unpacked perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 status half-configured perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 status installed perl-base:amd64 5.22.1-9
2019-06-10 20:40:41 startup archives install
2019-06-10 20:40:41 install mawk:amd64 <none> 1.3.3-17ubuntu2
2019-06-10 20:40:41 status half-installed mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 configure mawk:amd64 1.3.3-17ubuntu2 1.3.3-17ubuntu2
2019-06-10 20:40:41 status unpacked mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 status half-configured mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 status installed mawk:amd64 1.3.3-17ubuntu2
2019-06-10 20:40:41 startup archives unpack
2019-06-10 20:40:41 install adduser:all <none> 3.113+nmu3ubuntu4
